pair,price_return_corr,strategy_monthly_pnl_corr,abs_gap
AAVEUSDT|RUNEUSDT,0.6339,-0.0158,0.6181
AAVEUSDT|SANDUSDT,0.5761,-0.1665,0.4096
AAVEUSDT|GALAUSDT,0.58,-0.094,0.486
AAVEUSDT|MANAUSDT,0.6257,-0.1551,0.4706
AAVEUSDT|THETAUSDT,0.6237,0.0755,0.5482
UNIUSDT|CRVUSDT,0.6501,-0.1365,0.5136
UNIUSDT|FTMUSDT,0.5524,0.2278,0.3246
UNIUSDT|RUNEUSDT,0.6079,0.2689,0.339
UNIUSDT|SANDUSDT,0.5734,-0.5307,0.0427
UNIUSDT|GALAUSDT,0.5786,-0.1839,0.3946
UNIUSDT|MANAUSDT,0.6234,-0.1458,0.4777
UNIUSDT|THETAUSDT,0.6167,0.2827,0.334
CRVUSDT|FTMUSDT,0.5497,-0.0949,0.4548
CRVUSDT|RUNEUSDT,0.5791,-0.1044,0.4747
CRVUSDT|SANDUSDT,0.5655,0.5568,0.0087
CRVUSDT|GALAUSDT,0.5913,0.1845,0.4068
CRVUSDT|MANAUSDT,0.6123,0.6514,-0.0391
CRVUSDT|THETAUSDT,0.6038,0.2477,0.3561
FTMUSDT|RUNEUSDT,0.5546,0.0985,0.4561
FTMUSDT|SANDUSDT,0.5002,-0.1785,0.3217
FTMUSDT|GALAUSDT,0.5734,0.1661,0.4074
FTMUSDT|MANAUSDT,0.5929,-0.0212,0.5717
FTMUSDT|THETAUSDT,0.561,0.1084,0.4526
RUNEUSDT|SANDUSDT,0.5404,-0.1012,0.4392
RUNEUSDT|GALAUSDT,0.5624,0.2528,0.3096
RUNEUSDT|MANAUSDT,0.5884,-0.2393,0.3491
RUNEUSDT|THETAUSDT,0.5993,0.0419,0.5575
SANDUSDT|GALAUSDT,0.7035,0.1697,0.5339
SANDUSDT|MANAUSDT,0.8361,0.4657,0.3704
SANDUSDT|THETAUSDT,0.6342,-0.1461,0.4882
GALAUSDT|MANAUSDT,0.696,0.3591,0.337
GALAUSDT|THETAUSDT,0.6454,0.0753,0.5701
MANAUSDT|THETAUSDT,0.6917,0.262,0.4297
